XC,YC,theta,idx,thres_rho
8,5,-0.761426986430001,1,1
8,6,-0.411305690799914,0,0
8,7,-0.045493208350286,0,0
8,8,0.164574154792257,0,0
8,9,0.152372587275612,0,0
8,10,0.128164744108143,0,0
8,11,0.134482530602674,0,0
8,12,0.149138066774641,0,0
8,13,0.086789508608454,0,0
8,14,-0.0543618579745304,0,0
8,15,0.157141980997818,0,0
8,16,0.470500457289259,0,0
8,17,0.887132780610461,3,1
8,18,0.965405221812333,3,1
8,19,0.968041598604824,3,1
8,20,0.641317744472313,3,1
9,1,-0.564224649516258,0,0
9,2,-0.883818348328083,1,1
9,3,-0.940014199662029,1,1
9,4,-0.940857071342589,1,1
9,5,-0.84141831282176,1,1
9,6,-0.559494112676707,0,0
9,7,-0.17605582215333,0,0
9,8,0.145113818283309,0,0
9,9,0.246117860239858,0,0
9,10,0.228313781890606,0,0
9,11,0.180412188125636,0,0
9,12,0.155556252606346,0,0
9,13,0.0810422129510439,0,0
9,14,0.021570107400894,0,0
9,15,0.256870011304996,0,0
9,16,0.585817015982869,0,0
9,17,0.919751514613323,3,1
9,18,0.970907282639283,3,1
9,19,0.959014120360988,3,1
9,20,0.631438620900011,3,1
10,1,-0.542054075477265,0,0
10,2,-0.856912939393362,1,1
10,3,-0.923109419154666,1,1
10,4,-0.94918564487865,1,1
10,5,-0.896158076749158,1,1
10,6,-0.702583716784712,1,1
10,7,-0.356222980714613,0,0
10,8,0.0125707251308812,0,0
10,9,0.210155594223979,0,0
10,10,0.208062945916786,0,0
10,11,0.130534414479258,0,0
10,12,0.0962394403292182,0,0
10,13,0.035244325315041,0,0
10,14,0.0899203609186871,0,0
10,15,0.34706254739785,0,0
10,16,0.699511218242768,3,1
10,17,0.943063941886699,3,1
10,18,0.971816887431499,3,1
10,19,0.945090041730107,3,1
10,20,0.617427403861168,3,1
11,1,-0.526186725485306,0,0
11,2,-0.832975468122355,0,0
11,3,-0.900229142040857,1,1
11,4,-0.94665422134709,1,1
11,5,-0.929845490197276,1,1
11,6,-0.79537043486801,1,1
11,7,-0.447942237113472,0,0
11,8,-0.0322210369176476,0,0
11,9,0.249758081949675,0,0
11,10,0.257618337732403,0,0
11,11,0.161662289657833,0,0
11,12,0.0782655657327695,0,0
11,13,-0.036801747520733,0,0
11,14,0.149415811698365,0,0
11,15,0.443567801470694,0,0
11,16,0.847810212171142,3,1
11,17,0.958931580367697,3,1
11,18,0.968973543008593,3,1
11,19,0.927376560368382,3,1
11,20,0.600252492318713,0,0
12,1,-0.515198507828505,0,0
12,2,-0.81007737864861,0,0
12,3,-0.873423973880529,1,1
12,4,-0.934651789762402,1,1
12,5,-0.946246223502968,1,1
12,6,-0.866308234125589,1,1
12,7,-0.588349302023029,0,0
12,8,-0.179866228308266,0,0
12,9,0.14495978202416,0,0
12,10,0.231960108533171,0,0
12,11,0.111598979030995,0,0
12,12,0.00517865957926893,0,0
12,13,-0.0391179531587091,0,0
12,14,0.224162900399809,0,0
12,15,0.55917270098162,0,0
12,16,0.887261349094517,3,1
12,17,0.968138769204431,3,1
12,18,0.962236471494502,3,1
12,19,0.908030144460623,3,1
12,20,0.582223231140273,0,0
13,1,-0.506794154553592,0,0
13,2,-0.786597428456366,0,0
13,3,-0.844242591684069,0,0
13,4,-0.91408348572941,1,1
13,5,-0.949890705556545,1,1
13,6,-0.912937816688937,1,1
13,7,-0.687082855134981,1,1
13,8,-0.280087509302529,0,0
13,9,0.081693699853035,0,0
